Classifier	Parameters_of_best_estimator	Cross_validation_score
Naive_Bayes		0.7158608058608058
LDA	lda__solver=svd	0.6773559773559773
QDA	qda__reg_param=0.0;qda__store_covariance=True	0.7332509157509157
Decision_Tree	dt__criterion=gini;dt__max_depth=3;dt__max_features=auto;dt__min_samples_leaf=1;dt__min_samples_split=2;dt__splitter=best	0.7428937728937728
Random_Forest	rf__bootstrap=True;rf__criterion=gini;rf__max_depth=7;rf__max_features=auto;rf__max_samples=0.8;rf__min_samples_leaf=2;rf__min_samples_split=2;rf__n_estimators=100	0.7595546120546122
Ada_Boost	ab__learning_rate=0.5;ab__n_estimators=50	0.7112513466925232
SVM	svm=LinearSVC(C=1, max_iter=1500, random_state=0);svm__C=1;svm__loss=squared_hinge;svm__max_iter=1500	0.7209923409923409
Logistic_Regression	lr__penalty=l1;lr__solver=liblinear	0.711102231102231
