tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	auPRC
CADD_v1.5	0.0	1.0	0.0	0.0	0.5	0.5	0	0	3	3	0	0	3	3	3	3	0.0	0.0	6	3	0	0.0	1.0	0.5	0.5		
SQUIRLS	0.0	1.0	0.0	0.0	0.5	0.5	0	0	3	3	0	0	3	3	3	3	0.0	0.0	6	3	0	0.0	1.0	0.5	0.5		
MaxEntScan	0.0	0.6666666666666666	0.0	-0.447	0.27649999999999997	0.276	0	1	2	3	0	0	3	3	3	3	0.0	0.0	6	2	0	0.0	1.0	0.3333333333333333	0.333		
SpliceAI	1.0	1.0	0.3333333333333333	0.447	0.7235	0.724	1	0	3	2	0	0	3	3	3	3	0.5	0.5	6	4	0	0.0	1.0	0.6666666666666666	0.667		
CI-SpliceAI	0.0	1.0	0.0	0.0	0.5	0.5	0	0	3	3	0	0	3	3	3	3	0.0	0.0	6	3	0	0.0	1.0	0.5	0.5		
Pangolin	1.0	1.0	0.3333333333333333	0.447	0.7235	0.724	1	0	3	2	0	0	3	3	3	3	0.5	0.5	6	4	0	0.0	1.0	0.6666666666666666	0.667		
SPiP	0.0	1.0	0.0	0.0	0.5	0.5	0	0	3	3	0	0	3	3	3	3	0.0	0.0	6	3	0	0.0	1.0	0.5	0.5		
PDIVAS	1.0	0.0	0.3333333333333333	0.0	0.5	0.25	1	0	0	2	0	3	3	0	3	3	0.5	0.25	6	1	3	0.5	0.5	0.3333333333333333	0.167		
