tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	auPRC
CADD_v1.5	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
SQUIRLS	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
MaxEntScan	0.16666666666666666	0.8	0.25	0.043	0.5215	0.522	1	5	20	3	0	0	4	25	4	25	0.2	0.2	29	21	0	0.0	1.0	0.7241379310344828	0.724		
SpliceAI	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
CI-SpliceAI	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
Pangolin	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
SPiP	0.0	1.0	0.0	0.0	0.5	0.5	0	0	25	4	0	0	4	25	4	25	0.0	0.0	29	25	0	0.0	1.0	0.8620689655172413	0.862		
PDIVAS	0.0	0.0	0.0	0.0	0.5	0.069	0	0	0	4	0	25	4	0	4	25	0.0	0.0	29	0	25	0.8620689655172413	0.13793103448275862	0.0	0.0		
